Event_ID,Year,Month,Jurisdiction,Level,Policy_Type,Description,Source,Source_URL,Verification_Status,Macro_Category,Redistribution_Type,Gov_Architecture
V-102,2025,2.0,France,National,Nuclear_Data_Center,EDF identifies four sites on its own land to offer for data centres leveraging existing nuclear power infrastructure and grid connections,World Nuclear News,https://www.world-nuclear-news.org/articles/france-tempts-ai-firms-with-its-nuclear-electricity,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-103,2024,6.0,Australia,National,Nuclear_Policy,Federal opposition (Coalition) announces plans to build seven nuclear power plants by 2050 at retired coal sites - sparking national debate on lifting 25-year nuclear ban,HSF/Kramer,https://www.hsfkramer.com/notes/energy/2024-posts/Is-Nuclear-Power-the-solution-to-Australia-s-Energy-Transition-,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-104,2025,5.0,Australia,National,Nuclear_Policy,Labor government re-elected in May 2025 maintaining nuclear power ban; Coalition nuclear plant proposal not adopted; coal plant retirements continue driving energy transition debate,Energy Council Australia,https://www.energycouncil.com.au/analysis/2025-another-year-full-of-energy-developments/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-105,2024,5.0,Korea,National,Grid_Restriction,KEPCO designates 205 substations as system management substations (103 in Gwangju/Jeonnam 61 in Jeonbuk 25 East Coast 16 Jeju) restricting new power connections,Chambers and Partners,https://practiceguides.chambers.com/practice-guides/power-generation-transmission-distribution-2025/south-korea/trends-and-developments,Verified,GRID_REGULATION,Sectoral,Constraint
V-106,2025,4.0,Canada,National,Nuclear_SMR,CNSC issues Licence to Construct first BWRX-300 SMR at Darlington New Nuclear Project - first grid-scale SMR construction licence in North America,CNSC/Canada.ca,https://www.canada.ca/en/nuclear-safety-commission/news/2025/04/decision-by-the-commission-to-authorize-ontario-power-generation-inc-to-construct-1-bwrx-300-reactor-at-the-darlington-new-nuclear-project-site.html,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-107,2025,5.0,Ontario,Subnational,Nuclear_SMR,Ontario government approves OPG construction of first BWRX-300 SMR at Darlington - CAD$7.7B for first unit with total 4-unit program at CAD$20.9B; first new nuclear construction in Ontario in 30+ years,ANS Nuclear Newswire,https://www.ans.org/news/2025-05-12/article-7014/opg-gets-final-permission-to-construct-first-north-american-smr/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-108,2025,1.0,Ontario,Subnational,Nuclear_Policy,Ontario directs OPG to explore additional new nuclear generation at Wesleyville site beyond Darlington SMR project,POWER Magazine,https://www.powermag.com/canada-approves-first-grid-scale-smr-construction-at-darlington/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-109,2025,7.0,Australia,National,Mandatory_Reporting,Australian Government mandates 5-star NABERS Energy rating for all data centres hosting federal workloads from July 1 2025 under Net Zero in Government Operations Strategy,PV Magazine Australia,https://www.pv-magazine-australia.com/2025/07/11/powering-australias-data-centre-boom-navigating-energy-compliance-and-opportunity/,Verified,GRID_REGULATION,Sectoral,Steering
V-110,2025,5.0,Australia,National,Grid_Restriction,AEMC launches Package 2 consultation on new grid connection standards for large loads (data centres) citing unprecedented AI-driven demand - facilities may need to remain stable during grid disturbances,AEMC,https://www.aemc.gov.au/news-centre/media-releases/aemc-modernises-grid-connection-rules-accelerate-energy-transition-manage-ai-boom,Verified,GRID_REGULATION,Sectoral,Steering
V-111,2025,3.0,Australia,National,Policy_Framework,Energy and Climate Change Ministerial Council (ECMC) agrees to work with AEMO on implications of projected data centre growth for energy system including regulatory framework review,W.Media,https://w.media/australia-to-update-grid-rules-amid-surging-data-centre-demand/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-112,2025,6.0,Ontario,Subnational,Legislation,Ontario introduces Bill 40 (Protect Ontario by Securing Affordable Energy for Generations Act) requiring Ministerial approval before large data centres can connect to the electricity grid,Ontario Government ERO,https://ero.ontario.ca/notice/025-1001,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-113,2025,11.0,Alberta,Subnational,Legislation,Alberta introduces Bill 8 (Utilities Statutes Amendment Act 2025) creating framework for data centres to bring own generation and ensuring ratepayers do not pay for data centre transmission upgrades,Alberta Government,https://www.alberta.ca/powering-new-pathways-for-data-centres,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-114,2022,2.0,China,National,National_Strategy,China launches 'East Data West Computing' (东数西算) megaproject: 8 computing hubs and 10 data center clusters to redistribute computing from east to west,NDRC/China Briefing,https://www.china-briefing.com/news/china-data-centers-new-cross-regional-plan-to-boost-computing-power-across-regions/,Verified,REGULATORY_FRAMEWORK,Spatial,Steering
V-115,2023,8.0,China,National,Regulatory_Framework,"China enacts Interim Measures for Management of Generative AI Services, first comprehensive generative AI regulation governing development and service provision",CAC/GLI,https://www.globallegalinsights.com/practice-areas/ai-machine-learning-and-big-data-laws-and-regulations/china/,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-116,2024,7.0,China,National,Energy_Efficiency,"China sets new PUE target: large data centers must achieve PUE of 1.25 by 2025, stricter than EU requirements",Carbon Brief,https://www.carbonbrief.org/explainer-how-china-is-managing-the-rising-energy-demand-from-data-centres/,Verified,GRID_REGULATION,Sectoral,Steering
V-117,2025,4.0,China,National,Nuclear_Policy,China approves construction of 10 new nuclear reactors across 5 sites with investment exceeding 200 billion yuan ($27.45B) to support AI infrastructure growth,Nuclear Business Platform,https://www.nuclearbusiness-platform.com/media/insights/nuclear-energy-to-power-ai,Verified,NUCLEAR_PROCUREMENT,Temporal,Facilitation
V-118,2025,11.0,China,National,Regulatory_Framework,"China bans foreign AI chips from state-funded data centers, requiring only domestic accelerators in government-funded projects",Reuters/Tom's Hardware,https://www.tomshardware.com/tech-industry/semiconductors/china-bans-foreign-ai-chips-from-state-funded-data-centers,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-119,2025,8.0,China,National,National_Strategy,State Council issues 'Opinions on AI Plus Action Plan' proposing data-driven economy transition with six key actions including AI infrastructure security,S&P Global,https://www.spglobal.com/en/research-insights/special-reports/look-forward/data-center-frontiers/geopolitics-data-sovereignty-data-center-security,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-120,2023,8.0,India,National,Regulatory_Framework,India enacts Digital Personal Data Protection Act (DPDP) strengthening data sovereignty and restricting cross-border data transfers,Singularity AMC,https://www.singularityone.in/p/inside-indias-data-center-build-out,Verified,REGULATORY_FRAMEWORK,Spatial,Steering
V-121,2025,3.0,India,National,National_Strategy,"India launches IndiaAI Mission with IndiaAIKosh national AI compute pool, offering subsidized GPUs/TPUs to researchers and startups",PSA Gov India,https://psa.gov.in/CMS/web/sites/default/files/publication/WP_Democratising%20Access_V3.0_29122025A.pdf,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-122,2025,5.0,Chhattisgarh,Subnational,Siting_Policy,"India opens first AI data center park in Naya Raipur, Chhattisgarh, as model for decentralized infrastructure beyond metro hubs",Computer Weekly,https://www.computerweekly.com/news/366629299/India-revives-national-datacentre-policy-amid-AI-push,Verified,SITING_CONTROL,Spatial,Constraint
V-123,2025,11.0,India,National,Regulatory_Framework,"India issues AI Governance Guidelines 2025 under IndiaAI Mission with six pillars: Infrastructure, Capacity Building, Policy, Risk Mitigation, Accountability, Institutions",Privacy World,https://www.privacyworld.blog/2025/12/india-issues-2025-ai-governance-guidelines-how-it-compares-to-other-global-ai-acts/,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-124,2025,5.0,Taiwan,National,Nuclear_Policy,"Taiwan shuts down last operating nuclear reactor (Maanshan Unit 2), completing nuclear phaseout amid rising AI data center energy demands",Taiwan Insight/WNISR,https://taiwaninsight.org/2025/10/06/powering-the-silicon-island-can-taiwan-keep-the-lights-on-for-ai/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-125,2025,8.0,Taiwan,National,Nuclear_Policy,Taiwan holds referendum to reopen Maanshan nuclear plant but fails to reach legally required 5 million 'yes' votes despite majority support,Taiwan Insight,https://taiwaninsight.org/2025/10/06/powering-the-silicon-island-can-taiwan-keep-the-lights-on-for-ai/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-127,2025,5.0,UAE,National,Nuclear_Data_Center,"UAE establishes 5-gigawatt AI Campus in Abu Dhabi powered by nuclear, solar, and gas - largest supercomputing cluster outside the US",WAM/ANI News,https://aninews.in/news/world/middle-east/uae-marks-2025-with-strategic-ai-transformation-infrastructure-leadership20251222144241/,Verified,NUCLEAR_PROCUREMENT,Temporal,Facilitation
V-129,2025,5.0,UAE,National,Nuclear_Policy,Emirates Nuclear Energy Company signs MOU with GE Vernova Hitachi evaluating BWRX-300 small modular reactor deployment,MEI,https://www.mei.edu/publications/crude-compute-building-gcc-ai-stack,Verified,NUCLEAR_PROCUREMENT,Temporal,Facilitation
V-130,2025,6.0,Saudi Arabia,National,Nuclear_Policy,Saudi Arabia allows IAEA inspection of Duwayhin Nuclear Energy Company in preparation for nuclear capacity buildout for AI infrastructure,MEI,https://www.mei.edu/publications/crude-compute-building-gcc-ai-stack,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-131,2025,11.0,Saudi Arabia,National,Nuclear_Data_Center,Saudi Arabia and US sign cooperation agreement for civilian nuclear energy partnership with nonproliferation safeguards to power AI infrastructure,MEI,https://www.mei.edu/publications/crude-compute-building-gcc-ai-stack,Verified,NUCLEAR_PROCUREMENT,Temporal,Facilitation
V-132,2025,8.0,Israel,National,National_Strategy,"Nagel Committee recommends 25 billion shekel (~$6.6B) national AI investment over 5 years for infrastructure, computing power, and training",JNS,https://www.jns.org/israel-playing-catch-up-in-ai-after-two-years-of-war/,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-134,2025,8.0,Spain,National,Regulatory_Framework,"Spain launches Draft Royal Decree imposing strict sustainability and energy efficiency requirements on data centers, exceeding EU EED standards",Covington/Jones Day,https://www.jonesday.com/en/insights/2025/08/sustainability-obligations-for-spanish-data-centers,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-135,2025,8.0,Spain,National,Mandatory_Reporting,"Spain requires data center operators (≥500kW) to report socio-economic impact including employment, local economy effects, and client data origins",Covington,https://www.globalpolicywatch.com/2025/09/spain-proposes-strict-sustainability-requirements-for-data-centers/,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-136,2024,8.0,Italy,National,Regulatory_Framework,Italy's MASE issues Guidelines for Environmental Assessment Procedures for Data Centers to standardize review processes,Lexology,https://www.lexology.com/library/detail.aspx?g=d9aca9d1-5d3a-4335-bea5-f410c11c3306,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-137,2024,6.0,Lombardy,Subnational,Siting_Policy,Lombardy Region issues Resolution No. 2629 with uniform guidelines for data center construction in Italy's largest DC region,Lexology,https://www.lexology.com/library/detail.aspx?g=d9aca9d1-5d3a-4335-bea5-f410c11c3306,Verified,SITING_CONTROL,Spatial,Constraint
V-138,2025,11.0,Italy,National,National_Strategy,Italy's MIMIT publishes 'Strategy for attracting foreign investment in data centers' to simplify authorization and position Italy as European/Mediterranean digital hub,Lexology,https://www.lexology.com/library/detail.aspx?g=d9aca9d1-5d3a-4335-bea5-f410c11c3306,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-139,2025,7.0,Sweden,National,Mandatory_Reporting,"Sweden implements data center energy performance disclosure law: operators ≥500kW must report to EU database, first mandatory reporting by May 2026",Swedish Energy Agency,https://www.energimyndigheten.se/en/sustainability/data-centers-energy-performance/,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-141,2023,4.0,Finland,National,Nuclear_Policy,"Finland opens Olkiluoto 3 - Europe's first new nuclear reactor in over 15 years (1,600 MW), supporting energy-intensive data center industry",IEA/Schneider,https://blog.se.com/infrastructure-and-grid/2024/05/31/nordic-energy-policy-and-energy-efficiency/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-142,2025,3.0,Finland,National,Grid_Restriction,"Finland plans to end electricity tax subsidy for data centers and mines, signaling shift in Nordic DC incentive policies",Bloomberg Tax,https://www.orbitalindustries.com/posts/wasted-power-data-center-regulation-in-the-eu,Verified,GRID_REGULATION,Sectoral,Constraint
V-143,2025,6.0,Denmark,National,Energy_Efficiency,"Denmark positions as data center hub with 26% annual capacity growth over 5 years, supported by Energinet TSO grid planning since 2017",Ember,https://ember-energy.org/chapter/chapter-1-grids-for-data-centres/,Verified,GRID_REGULATION,Spatial,Facilitation
V-144,2024,6.0,Denmark,National,Nuclear_Data_Center,Microsoft signs 180MW PPA with European Energy covering solar and onshore wind projects in Denmark and Sweden for data centers,Pexapark,https://pexapark.com/blog/prmc-breaking-down-the-data-center-surge-in-the-nordics-key-players-trends-and-ppas/,Verified,GRID_REGULATION,Sectoral,Facilitation
V-145,2023,12.0,Norway,National,Regulatory_Framework,"Norwegian government rejects state cloud recommendation, opts for national cloud operated with commercial players, trusting private DC industry",Datacenter Forum,https://datacenter-forum.ro/en/the-data-center-industry-beyond-flap-d-key-national-policies-and-projects-making-a-difference/,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-147,2024,9.0,Malaysia,National,Moratorium,Malaysia moves to slow data center development due to strain on national energy grid and water resources amid Singapore overflow,Mongabay,https://news.mongabay.com/2025/11/ai-data-center-revolution-sucks-up-worlds-energy-water-materials/,Verified,MORATORIUM,Spatial,Constraint
V-149,2025,2.0,EU,Supranational,National_Strategy,EU announces €20B 'AI Gigafactory' fund modeled after CERN (Switzerland-based) for large-scale AI infrastructure at 7 EU locations,S&P Global,https://www.spglobal.com/en/research-insights/special-reports/look-forward/data-center-frontiers/geopolitics-data-sovereignty-data-center-security,Verified,REGULATORY_FRAMEWORK,Spatial,Steering
V-152,2024,1.0,Germany,National,Regulatory_Framework,"Germany's Energy Efficiency Act (EnEfG) takes effect: data centers must cover 50% energy from renewables (100% by 2027), mandatory waste heat reuse",Datacenter Forum/Pexapark,https://datacenter-forum.ro/en/the-data-center-industry-beyond-flap-d-key-national-policies-and-projects-making-a-difference/,Verified,GRID_REGULATION,Sectoral,Steering
V-154,2025,4.0,EU,Supranational,National_Strategy,EU releases AI Continent Action Plan setting goal of tripling data center capacity within 5-7 years,Ember,https://ember-energy.org/chapter/chapter-1-grids-for-data-centres/,Verified,REGULATORY_FRAMEWORK,Sectoral,Steering
V-155,2025,2.0,EU,Supranational,National_Strategy,"EU announces InvestAI: €200 billion initiative for AI infrastructure including computing power, applications, and democratized access",S&P Global,https://www.spglobal.com/en/research-insights/special-reports/look-forward/data-center-frontiers/geopolitics-data-sovereignty-data-center-security,Verified,REGULATORY_FRAMEWORK,Spatial,Steering
